,basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value,cv_diff_value,cv_diff_rate,cv_maN_value,cv_maN_rate,ud_Nd,cvNd_diff_rate
0,20171222,고려아연,10130,490000,490000,481000,483000,22770,-4000,-0.82,486666.6666666667,0.1,-,-
1,20171221,고려아연,10130,486500,492000,482000,487000,33988,-3000,-0.61,486166.6666666667,0.14,0,-1.43
2,20171220,고려아연,10130,481500,492000,481500,490000,27140,8500,1.77,485500.0,0.55,0,1.14
3,20171219,고려아연,10130,483000,486500,479000,481500,24376,-3500,-0.72,482833.3333333333,0.38,0,1.03
4,20171218,고려아연,10130,480000,485000,478000,485000,23390,3000,0.62,481000.0,0.7,1,-0.1
5,20171215,고려아연,10130,481500,488000,477500,482000,40000,6000,1.26,477666.6666666667,0.81,1,1.89
6,20171214,고려아연,10130,476500,480500,475500,476000,46943,1000,0.21,473833.3333333333,0.46,1,1.47
7,20171213,고려아연,10130,470500,478500,470500,475000,24986,4500,0.96,471666.6666666667,0.78,1,1.17
8,20171212,고려아연,10130,466000,471500,464000,470500,23330,1000,0.21,468000.0,0.0,0,1.17
9,20171211,고려아연,10130,465000,469500,464500,469500,19796,5500,1.19,468000.0,-0.07,0,1.4
10,20171208,고려아연,10130,469000,471500,464000,464000,34651,-6500,-1.38,468333.3333333333,-1.47,0,-0.21
11,20171207,고려아연,10130,470500,471500,465000,470500,27261,0,0.0,475333.3333333333,-0.59,0,-1.38
12,20171206,고려아연,10130,488000,488000,470500,470500,50718,-14500,-2.99,478166.6666666667,-0.66,0,-2.99
13,20171205,고려아연,10130,477000,492000,477000,485000,47938,6000,1.25,481333.3333333333,-0.1,0,-1.77
14,20171204,고려아연,10130,485000,486000,474500,479000,45131,-1000,-0.21,481833.3333333333,-0.76,-1,1.04
15,20171201,고려아연,10130,487500,487500,479000,480000,42333,-6500,-1.34,485500.0,-1.09,-1,-1.54
16,20171130,고려아연,10130,492500,493000,482000,486500,62956,-3500,-0.71,490833.3333333333,-0.71,-1,-2.04
17,20171129,고려아연,10130,496000,496000,490000,490000,22392,-6000,-1.21,494333.3333333333,-0.27,0,-1.92
18,20171128,고려아연,10130,496000,499500,491000,496000,26996,-1000,-0.2,495666.6666666667,0.17,0,-1.41
19,20171127,고려아연,10130,494000,497500,492000,497000,21569,3000,0.61,494833.3333333333,-0.07,0,0.4
20,20171124,고려아연,10130,494000,499000,492500,494000,20124,500,0.1,495166.6666666667,0.0,0,0.71
21,20171123,고려아연,10130,499000,503000,493000,493500,34900,-4500,-0.9,495166.6666666667,0.07,0,-0.8
22,20171122,고려아연,10130,494000,502000,494000,498000,24975,4000,0.81,494833.3333333333,-0.03,0,-0.1
23,20171121,고려아연,10130,496500,498500,492000,494000,29109,1500,0.3,495000.0,-0.4,0,1.12
24,20171120,고려아연,10130,494000,496500,491500,492500,47285,-6000,-1.2,497000.0,-0.7,-1,-0.9
25,20171117,고려아연,10130,501000,506000,493500,498500,79498,-1500,-0.3,500500.0,-1.22,-1,-1.5
26,20171116,고려아연,10130,502000,508000,499000,500000,48466,-3000,-0.6,506666.6666666667,-1.11,0,-0.89
27,20171115,고려아연,10130,520000,521000,500000,503000,40099,-14000,-2.71,512333.3333333333,-1.16,0,-3.29
28,20171114,고려아연,10130,519000,522000,514000,517000,62014,0,0.0,518333.3333333333,-0.19,0,-2.71
29,20171113,고려아연,10130,519000,522000,514000,517000,20318,-4000,-0.77,519333.3333333333,-0.13,0,-0.77
30,20171110,고려아연,10130,527000,527000,519000,521000,65043,1000,0.19,520000.0,0.0,0,-0.58
31,20171109,고려아연,10130,522000,522000,513000,520000,24874,1000,0.19,520000.0,0.19,0,0.39
32,20171108,고려아연,10130,516000,523000,513000,519000,28379,-2000,-0.38,519000.0,0.32,0,-0.19
33,20171107,고려아연,10130,513000,522000,513000,521000,29749,4000,0.77,517333.3333333333,0.39,0,0.39
34,20171106,고려아연,10130,515000,517000,508000,517000,22828,3000,0.58,515333.3333333333,0.32,0,1.36
35,20171103,고려아연,10130,518000,519000,509000,514000,25196,-1000,-0.19,513666.6666666667,0.13,0,0.39
36,20171102,고려아연,10130,513000,520000,510000,515000,30592,3000,0.59,513000.0,-0.71,0,0.39
37,20171101,고려아연,10130,505000,515000,502000,512000,26341,0,0.0,516666.6666666667,-0.77,0,0.59
38,20171031,고려아연,10130,524000,525000,511000,512000,38483,-14000,-2.66,520666.6666666667,1.43,0,-2.66
39,20171030,고려아연,10130,522000,526000,507000,526000,57250,2000,0.38,513333.3333333333,0.26,0,-2.29
40,20171027,고려아연,10130,495000,528000,494000,524000,93355,34000,6.94,512000.0,-0.71,0,7.35
41,20171026,고려아연,10130,526000,526000,487000,490000,134369,-32000,-6.13,515666.6666666667,-2.27,0,0.38
42,20171025,고려아연,10130,530000,532000,520000,522000,24570,-13000,-2.43,527666.6666666666,-1.19,0,-8.41
43,20171024,고려아연,10130,527000,535000,527000,535000,18454,9000,1.71,534000.0,-0.06,0,-0.76
44,20171023,고려아연,10130,539000,544000,525000,526000,25581,-15000,-2.77,534333.3333333334,-0.5,0,-1.11
45,20171020,고려아연,10130,530000,543000,530000,541000,17906,5000,0.93,537000.0,-0.31,0,-1.87
46,20171019,고려아연,10130,529000,545000,529000,536000,21409,2000,0.37,538666.6666666666,-0.55,0,1.31
47,20171018,고려아연,10130,540000,547000,532000,534000,27856,-12000,-2.2,541666.6666666666,0.12,0,-1.83
48,20171017,고려아연,10130,541000,548000,532000,546000,30442,1000,0.18,541000.0,0.74,0,-2.02
49,20171016,고려아연,10130,535000,549000,529000,545000,65347,13000,2.44,537000.0,0.94,0,2.63
50,20171013,고려아연,10130,534000,540000,526000,532000,26513,-2000,-0.37,532000.0,0.76,0,2.06
51,20171012,고려아연,10130,529000,535000,522000,534000,37745,4000,0.75,528000.0,2.49,1,0.38
52,20171011,고려아연,10130,520000,536000,516000,530000,71783,10000,1.92,515166.6666666667,2.62,1,2.69
53,20171010,고려아연,10130,506000,522000,504000,520000,77152,24500,4.94,502000.0,2.41,1,6.96
54,20170929,고려아연,10130,495500,495500,487000,495500,37475,5000,1.02,490166.6666666667,0.34,0,6.01
55,20170928,고려아연,10130,479500,490500,475000,490500,41721,6000,1.24,488500.0,0.62,0,2.27
56,20170927,고려아연,10130,485000,488000,480500,484500,44337,-6000,-1.22,485500.0,0.14,0,0
57,20170926,고려아연,10130,486000,493000,482500,490500,44505,9000,1.87,484833.3333333333,0.03,0,0.62
58,20170925,고려아연,10130,484000,486500,480000,481500,37181,-1000,-0.21,484666.6666666667,-1.39,-1,1.66
59,20170922,고려아연,10130,484000,488500,474000,482500,48356,-7500,-1.53,491500.0,-1.44,-1,-1.73
60,20170921,고려아연,10130,499500,502000,487500,490000,58210,-12000,-2.39,498666.6666666667,-0.86,0,-3.88
61,20170920,고려아연,10130,504000,510000,499500,502000,31653,-2000,-0.4,503000.0,-0.13,0,-2.78
62,20170919,고려아연,10130,502000,508000,499000,504000,29857,1000,0.2,503666.6666666667,-0.72,0,-0.2
63,20170918,고려아연,10130,504000,506000,498000,503000,33197,-1000,-0.2,507333.3333333333,-1.04,-1,0
64,20170915,고려아연,10130,513000,515000,502000,504000,53952,-11000,-2.14,512666.6666666667,-1.22,-1,-2.33
65,20170914,고려아연,10130,515000,518000,509000,515000,47935,-4000,-0.77,519000.0,0.26,0,-2.89
66,20170913,고려아연,10130,523000,525000,517000,519000,28287,-4000,-0.76,517666.6666666667,-0.32,0,-1.53
67,20170912,고려아연,10130,514000,523000,512000,523000,49062,12000,2.35,519333.3333333333,0.19,0,1.57
68,20170911,고려아연,10130,520000,522000,511000,511000,61205,-13000,-2.48,518333.3333333333,-0.38,0,-0.19
69,20170908,고려아연,10130,524000,524000,514000,524000,36464,4000,0.77,520333.3333333333,0.45,0,-1.73
70,20170907,고려아연,10130,519000,520000,513000,520000,29206,3000,0.58,518000.0,0.65,0,1.35
71,20170906,고려아연,10130,516000,519000,511000,517000,42645,0,0.0,514666.6666666667,0.46,0,0.58
72,20170905,고려아연,10130,515000,519000,508000,517000,51866,7000,1.37,512333.3333333333,0.07,0,1.37
73,20170904,고려아연,10130,508000,515000,506000,510000,44909,0,0.0,512000.0,-0.39,0,1.37
74,20170901,고려아연,10130,516000,517000,506000,510000,27349,-6000,-1.16,514000.0,-0.13,0,-1.16
75,20170831,고려아연,10130,516000,516000,508000,516000,31134,0,0.0,514666.6666666667,0.85,0,-1.16
76,20170830,고려아연,10130,513000,520000,512000,516000,44075,4000,0.78,510333.3333333333,1.42,1,0.78
77,20170829,고려아연,10130,506000,515000,501000,512000,64990,9000,1.79,503166.6666666667,0.8,0,2.58
